MAJOR_FLOOD,SITEID,STATE,MAJOR_FLOOD,FLOW_PEAK_LOGPEARSON3-Q100-SURPRISE[adim],VOL_120H_LOGPEARSON3-Q100-SURPRISE[adim],VOL_240H_LOGPEARSON3-Q100-SURPRISE[adim],diff,DATE
SEQNNSW-Feb54,29,29,29,28,27,27,0,1954-02-19
HunterValley-Feb55,19,19,19,19,16,17,0,1955-02-22
MurrayRiver-Sep56,67,67,67,55,39,37,0,1956-06-08
QLDCentralCoast-Feb58,6,6,6,6,6,6,0,1958-02-16
CycAda-Jan70,9,9,9,9,7,7,0,1970-01-17
CycAlthea-Dec71,8,8,8,8,7,6,0,1971-12-24
CycEmily-Mar72,30,30,30,24,20,19,0,1972-03-27
QLD-Mar73,51,51,51,49,44,42,0,1973-03-02
EastAustralia-Feb74,138,138,138,128,109,110,0,1974-01-25
Sydney-Mar75,20,20,20,18,6,4,0,1975-03-09
CycHazel-Mar79,14,14,14,13,10,11,0,1979-03-01
Dalby-Feb81,6,6,6,6,5,6,0,1981-02-01
Sydney-Nov84,32,32,32,30,26,25,0,1984-11-08
CycWinifred-Jan86,52,52,52,52,44,46,0,1986-01-27
Sydney-Aug86,21,21,21,18,16,16,0,1986-08-04
SEQNNSW-Apr88,70,70,70,68,61,65,0,1988-04-07
EastAustralia-Apr89,183,183,183,165,149,144,0,1989-04-04
CycNancy-Feb90,59,59,59,58,41,41,0,1990-02-03
QLDCharleville-Apr90,97,97,97,88,79,73,0,1990-04-18
CycJoy-Dec90,29,29,29,24,17,20,0,1990-12-23
Boonah-Feb91,52,52,52,50,42,42,0,1991-02-07
NorthEastVIC-Oct93,84,84,84,84,78,77,0,1993-10-03
CycBobby-Feb95,11,11,11,10,9,9,0,1995-02-24
SEQNNSW-May96,67,67,67,64,57,58,0,1996-05-01
CycJustin-Mar97,55,55,55,54,50,49,0,1997-03-06
CycSid-Jan98,40,40,40,38,34,35,0,1998-01-10
CycLes-Jan98,30,30,30,30,20,20,0,1998-01-25
Sydney-Aug98,81,81,81,77,60,64,0,1998-08-17
CycVance-Mar99,13,13,13,13,11,12,0,1999-03-18
Melbourne-Dec99,20,20,20,19,8,7,0,1999-12-26
NorthQLD-Feb00,60,60,60,57,47,45,0,2000-02-05
NorthCoastNSW-Mar01,55,55,55,52,43,31,0,2001-03-05
SEQNNSW-Jun05,48,48,48,45,26,10,0,2005-06-29
GawlerRiver-Nov05,12,12,12,12,5,0,0,2005-11-08
CycLarry-Mar06,28,28,28,27,16,7,0,2006-03-20
CycGeorge-Mar07,10,10,10,10,5,3,0,2007-03-03
Gippsland-Jun07,141,141,141,122,51,27,0,2007-06-27
EastAustralia-Jan08,168,168,168,163,96,60,0,2007-12-27
NorthQLD-Jan09,72,72,72,68,57,47,0,2009-01-12
NorthCoastNSW-Apr09,7,7,7,7,3,3,0,2009-03-31
SEQNNSW-May09,59,59,59,57,49,28,0,2009-05-20
QLD-Mar10,64,64,64,58,50,36,0,2010-02-28
QLD-Dec10,103,103,103,101,76,55,0,2010-11-30
VIC-Jan11,39,39,39,36,19,12,0,2011-01-12
CycYasi-Feb11,22,22,22,21,11,8,0,2011-02-02
Warum-Mar11,16,16,16,16,16,14,0,2011-03-10
NorthNswMoree-Nov11,39,39,39,35,25,12,0,2011-11-27
CycGrant-Dec11,11,11,11,9,6,3,0,2011-12-25
EastAustralia-Feb12,382,382,382,367,261,218,0,2012-01-24
CycOswald-Jan13,138,138,138,136,98,54,0,2013-01-21
CycMarcia-Feb15,34,34,34,32,19,8,0,2015-02-15
TAS-Jul16,42,42,42,42,31,15,0,2016-06-01
EastAustralia-Sep16,365,365,365,342,218,177,0,2016-09-01
CycDebbie-Mar17,179,179,179,175,132,84,0,2017-03-28
SEQNNSW-Feb20,149,149,149,143,116,96,0,2020-02-08
CycTiffany-Jan22,74,74,74,69,40,35,0,2022-01-21
NorthernRivers-Feb22,62,62,62,60,51,41,0,2022-02-22
AliceSprings-Apr88,1,1,1,1,1,1,0,
CycAgnes-Mar56,1,1,1,1,0,0,0,
CycAudrey-Mar69,11,11,11,3,3,3,0,
CycGlenda-Apr67,1,1,1,0,0,0,0,
CycHerbie-May88,3,3,3,3,1,1,0,
CycJoan-Dec75,5,5,5,4,2,2,0,
CycMarcus-Mar18,1,1,1,0,0,0,0,
CycRewa-Jan94,5,5,5,3,0,0,0,
CycTracy-Dec74,1,1,1,0,0,0,0,
CycVeronica-Mar19,4,4,4,3,3,3,0,
EastNSW-Jun50,18,18,18,0,0,0,0,
GnarrCreek-Dec91,5,5,5,4,3,2,0,
Hobart-May18,3,3,3,3,0,0,0,
WestSydney-Apr74,3,3,3,3,1,1,0,
