SITEID,SITEID,STATE,MAJOR_FLOOD,FLOW_PEAK_LOGPEARSON3-Q100-SURPRISE[adim],VOL_120H_LOGPEARSON3-Q100-SURPRISE[adim],VOL_240H_LOGPEARSON3-Q100-SURPRISE[adim],diff
221207,2,2,2,2,1,0,0
207010,4,4,4,4,4,4,0
206014,9,9,9,9,7,6,0
206018,4,4,4,4,4,3,0
206020,1,1,1,1,1,1,0
206024,8,8,8,8,7,7,0
206025,3,3,3,3,3,1,0
206032,6,6,6,5,1,0,0
206035,4,4,4,4,3,1,0
206038,3,3,3,3,0,0,0
207004,10,10,10,9,8,9,0
207008,2,2,2,2,2,2,0
207009,3,3,3,3,3,1,0
207013,8,8,8,8,8,7,0
212040,4,4,4,3,3,3,0
207014,8,8,8,8,6,7,0
207015,9,9,9,8,7,7,0
207018,3,3,3,3,2,3,0
208003,13,13,13,12,11,10,0
208004,15,15,15,13,10,10,0
208005,12,12,12,10,9,9,0
208006,10,10,10,9,8,8,0
208007,12,12,12,11,9,9,0
208008,6,6,6,5,4,4,0
208009,9,9,9,8,7,5,0
208011,10,10,10,9,9,7,0
206011,10,10,10,10,10,9,0
206009,8,8,8,8,6,5,0
206008,5,5,5,5,5,2,0
206001,10,10,10,10,5,5,0
204027,4,4,4,4,3,3,0
204030,7,7,7,6,3,1,0
204031,7,7,7,7,5,2,0
204037,15,15,15,13,10,5,0
204039,11,11,11,11,10,5,0
204041,13,13,13,12,12,12,0
204046,18,18,18,16,16,11,0
204051,15,15,15,15,12,10,0
204055,13,13,13,13,12,10,0
204056,12,12,12,12,11,10,0
204060,2,2,2,2,2,2,0
204067,14,14,14,13,11,9,0
204068,8,8,8,8,7,7,0
204069,7,7,7,7,7,7,0
204900,14,14,14,14,14,11,0
205002,10,10,10,10,8,6,0
205006,4,4,4,4,3,4,0
205007,2,2,2,2,2,1,0
205008,2,2,2,2,2,2,0
205015,3,3,3,3,2,0,0
205016,5,5,5,5,3,3,0
205017,2,2,2,2,0,0,0
205018,3,3,3,3,0,0,0
208012,1,1,1,1,1,1,0
208015,8,8,8,8,8,7,0
208019,4,4,4,4,3,3,0
210080,6,6,6,6,1,1,0
210091,4,4,4,4,1,1,0
210114,5,5,5,5,3,2,0
210120,1,1,1,0,0,0,0
210135,4,4,4,4,4,3,0
210136,3,3,3,3,2,2,0
210143,2,2,2,2,1,2,0
210144,3,3,3,3,2,2,0
210146,2,2,2,0,0,0,0
210903,3,3,3,3,2,3,0
211001,1,1,1,1,0,0,0
211004,1,1,1,1,1,1,0
211006,2,2,2,0,0,0,0
211008,4,4,4,4,3,2,0
211009,5,5,5,4,4,4,0
211010,2,2,2,1,1,1,0
211013,4,4,4,3,3,2,0
211014,4,4,4,3,2,2,0
211015,1,1,1,1,0,0,0
212008,8,8,8,8,8,6,0
212010,2,2,2,2,2,2,0
212013,4,4,4,4,2,1,0
212014,2,2,2,2,2,2,0
212021,4,4,4,3,1,2,0
210089,6,6,6,6,3,2,0
210079,4,4,4,4,3,3,0
208020,3,3,3,3,3,3,0
210076,6,6,6,6,1,1,0
208024,5,5,5,5,2,2,0
208029,5,5,5,5,4,3,0
208031,3,3,3,3,3,3,0
208032,3,3,3,3,3,3,0
209002,6,6,6,5,4,4,0
209003,6,6,6,6,5,5,0
209006,8,8,8,7,7,5,0
209018,6,6,6,5,5,4,0
210005,1,1,1,0,0,0,0
210011,8,8,8,7,6,7,0
210014,3,3,3,3,1,1,0
210016,9,9,9,9,7,7,0
210017,7,7,7,6,4,3,0
210018,6,6,6,6,4,2,0
210022,8,8,8,7,4,3,0
210029,2,2,2,2,2,2,0
210034,2,2,2,1,0,0,0
210039,2,2,2,2,2,2,0
210040,5,5,5,5,3,4,0
210048,4,4,4,4,4,4,0
210052,4,4,4,3,3,2,0
210063,1,1,1,1,1,1,0
210067,2,2,2,2,1,1,0
204025,12,12,12,12,10,9,0
204019,1,1,1,1,1,1,0
204017,9,9,9,9,6,5,0
14223-1,2,2,2,2,1,0,0
14261-1,2,2,2,2,1,0,0
143007,13,13,13,13,11,9,0
143114,1,1,1,0,0,0,0
143204,1,1,1,1,1,1,0
143303,11,11,11,10,8,7,0
143312,9,9,9,8,5,0,0
143901,10,10,10,9,9,4,0
144003,4,4,4,4,1,1,0
145010,16,16,16,16,10,9,0
145011,11,11,11,10,6,5,0
145013,1,1,1,1,1,1,0
145018,13,13,13,11,5,4,0
145026,9,9,9,9,6,0,0
145027,9,9,9,9,3,0,0
145031,5,5,5,5,2,0,0
145101,16,16,16,15,13,10,0
145102,10,10,10,9,9,9,0
145104,2,2,2,2,2,2,0
145107,15,15,15,15,12,8,0
145196,5,5,5,5,5,5,0
146003,3,3,3,3,2,2,0
146007,1,1,1,1,1,1,0
146010,14,14,14,14,9,7,0
14237-1,2,2,2,2,2,0,0
142202,14,14,14,14,10,7,0
146012,13,13,13,12,8,4,0
142201,1,1,1,1,1,1,0
137202,2,2,2,2,2,2,0
138001,11,11,11,11,11,10,0
138003,12,12,12,0,0,0,0
138004,14,14,14,14,13,9,0
138009,12,12,12,11,6,4,0
138014,10,10,10,10,10,9,0
138107,14,14,14,13,10,5,0
138110,14,14,14,13,11,7,0
138903,10,10,10,10,5,1,0
140002,10,10,10,10,2,2,0
141001,12,12,12,11,8,5,0
141006,11,11,11,11,7,5,0
141008,11,11,11,11,9,4,0
141009,11,11,11,10,8,2,0
14200-1,2,2,2,2,1,0,0
142001,7,7,7,7,5,4,0
14206-1,2,2,2,2,0,0,0
14207-1,2,2,2,2,1,0,0
14212-1,1,1,1,1,0,0,0
14213-1,2,2,2,2,1,1,0
14214-1,2,2,2,2,1,1,0
14215-1,1,1,1,1,1,1,0
14220-1,2,2,2,2,1,0,0
146011,1,1,1,1,1,1,0
146015,6,6,6,6,5,0,0
204015,16,16,16,15,12,12,0
201015,6,6,6,6,5,5,0
202001,12,12,12,12,6,5,0
202002,5,5,5,5,0,0,0
203002,13,13,13,13,10,8,0
203004,16,16,16,16,13,12,0
203005,18,18,18,18,16,14,0
203010,13,13,13,13,12,9,0
203012,9,9,9,9,4,4,0
203014,12,12,12,12,11,11,0
203022,1,1,1,1,1,1,0
203024,9,9,9,9,9,8,0
203034,10,10,10,10,9,7,0
203056,6,6,6,6,0,0,0
203057,4,4,4,0,0,0,0
203060,5,5,5,5,5,5,0
203061,4,4,4,4,4,4,0
203900,14,14,14,14,12,11,0
204001,11,11,11,11,9,9,0
204002,17,17,17,17,16,14,0
204004,15,15,15,15,15,14,0
204006,4,4,4,4,0,0,0
