#
# --- THIS DATASET HAS BEEN PREPARED IN THE CONTEXT OF A RESEARCH PROJECT. DATA SHOULD NOT BE USED TO SUPPORT THE DESIGN OF FLOOD MITIGATION INFRASTRUCTURE. ---
# Author : Julien Lerat, CSIRO Environment
# Reference : Lerat and Vaze (2025), When the impossible flood happens: how February 2022 redefines extreme floods in Australia. Communications Earth and Environment
# Version : 5
# Date : 2025-04-13 11:52:33.846679
# Source file : DATA_prepare_flood_data.py
#
FLOODID,EVENT,ZONE,REGION,CATEGORY,START_DATE,END_DATE,FATALITIES,INJURED,INSURED_COST,URL,DESCRIPTION,SOURCES,LONGITUDE_MIN,LONGITUDE_MAX,LATITUDE_MIN,LATITUDE_MAX,INSURANCECOUNCILAUSTRALIA_CATID,INSURANCECOUNCILAUSTRALIA_DESCRIPTION,INSURANCECOUNCILAUSTRALIA_NORMLOSSVALUE,INSURANCECOUNCILAUSTRALIA_TOTALCLAIMS,STATES,SHORTNAME,MORE_THAN_5_SITES_AVAILABLE
CycTc119-Jan50,Cyclone - TC119 Coastal Queensland and New South Wales,"New South Wales, Queensland","Brisbane, Cairns, Sydney",Cyclone,1950-01-16,1950-01-19,17.0,0.0,0.0,https://knowledge.aidr.org.au/resources/cyclone-coastal-queensland-and-new-south-wales/ https://knowledge.aidr.org.au/resources/flood-sydney-north-coast-and-north-western-districts-1950/,"Blended event: [https://knowledge.aidr.org.au/resources/cyclone-coastal-queensland-and-new-south-wales/] From 16-19 January 1950, a Category 1 cyclone known as TC119 moved south from the Queensland gulf to Sydney, causing widespread damage..Seven people died in New South Wales. [https://knowledge.aidr.org.au/resources/flood-sydney-north-coast-and-north-western-districts-1950/] Wide spread flooding occurred in New South Wales a result of a cyclone that moved south from Queensland..Exceptionally heavy rain fell in the north coast and north-western districts. At Murwillumbah on the Tweed River six inches of rain fell in 24 hours, with two inches recorded in the city. Heavy seas caused high tides along the New South Wales coast..The resulting damage included; the closure of the Mascot airport, road closures, 8000 homes damaged, 1000 head of cattle dead, and 10 casualties.","Blended event: [https://knowledge.aidr.org.au/resources/cyclone-coastal-queensland-and-new-south-wales/] Australia through time, 2nd edn. Castle Hill, New South Wales: Lifetime Distributors, 1994, p 342.
Bureau of Meteorology, About tropical cyclones in NSW, website viewed 7 December 2011.
Fraser B, Macquarie book of events. 1st edn. Netley, South Australia: Macquarie Library Pty. Ltd. 1984, p 575. [https://knowledge.aidr.org.au/resources/flood-sydney-north-coast-and-north-western-districts-1950/] Barrier Miner, ‘Soaked by rain as clean homes’, 26 February 1954, p 6, viewed on Trove website (ID 49417945), 30 May 2011
Bureau of Meteorology, Tropical cyclones in New South Wales historical impacts 2011, viewed 30 May 2011
Clarence Valley Council, Historical flood information, 2006, viewed 30 May 2011
The Canberra Times, ‘Four dead as cyclone moves south to NSW’, 19 January 1950, p 1, viewed on Trove website (ID 2762488), retrieved 30 May 2011
The West Australian, ‘New flood threat’, 11 July 1950, p 3, viewed on Trove website (ID 47873932), 30 May 2011
Windworker Queensland Cyclones, Cyclones to have impacted on Queensland Australia from 1864, viewed 30 May 2011",150.0,155.0,-45.0,-10.0,,,,,NSW/QLD,Jan50,0
EastNSW-Jun50,Flood - Eastern New South Wales,New South Wales,Sydney,Flood,1950-06-01,1950-06-30,5.0,,Not Available,https://knowledge.aidr.org.au/resources/flood-eastern-new-south-wales-1950/,"In June 1950, New South Wales experienced a series of east coast lows, bringing high rainfalls and flooding to some areas. Sydney recorded a monthly rainfall of 642.7 mm. The Macleay River and the Clarence River experienced severe flooding and at least five people drowned in flooded waterways...The navy motorship ‘Fairwind’ and its crew of 17 disappeared during a storm that occurred between 23-26 June. ","Bureau of Meteorology, Stormy weather, East coast lows, p 30, website viewed 13 December 2011

Fraser B, Macquarie book of events. 1st edn. Netley, South Australia: Macquarie Library Pty. Ltd. 1984, p 575",150.0,155.0,-45.0,-10.0,,,,,NSW,Jun50,0
SEQNNSW-Feb54,Cyclone - The Great Gold coast cyclone Southern Queensland and Northern New South Wales,"New South Wales, Queensland","Brisbane, Lismore (NSW), Lismore (QLD)",Cyclone,1954-02-19,1954-02-24,48.0,0.0,0.0,https://knowledge.aidr.org.au/resources/cyclone-the-great-gold-coast-cyclone-queensland/ https://knowledge.aidr.org.au/resources/flood-northern-new-south-wales-1954/,"Blended event: [https://knowledge.aidr.org.au/resources/cyclone-the-great-gold-coast-cyclone-queensland/] On 20 February 1954, a tropical cyclone crossed over Coolangatta. While the cyclone occurred when weather patterns were unnamed, it was unofficially given the title The Great Gold Coast Cyclone. Serious structural damage to buildings occurred in Brisbane, Gold Coast and the Sunshine Coast..A 0.64 m storm surge was recorded in Moreton Bay while at Beachmere the surge was much higher. Waves at Kirra brought 3 m of water onto the highway washing cars from the road..As a result of the heavy rain, flooding which combined with the storm surge in the Nerang River caused many evacuations in the area, including people from MacIntosh Island..Severe flooding also occurred in areas of New South Wales; Cudgen, Casino, Lismore, Murwillumbah, Grafton, Maclean, Clarence, Yamba, Kyogle and Bryon Bay..The worst-hit areas were reported as Lismore, Casino, Kyogle, and Murwillumbah. The Richmond River rose approximately 1 m above the record 1949 flood level. Impacts to these areas included several thousand people displaced, crop and stock losses, residential and commercial premises damaged, and roads and other infrastructure destroyed..In Byron Bay, the outer section of the jetty was swept away taking 22 vessels with it . The storm surge moved thorough Bryon Bay and flooded parts of the town..The Bureau of Meteorology reports between 26 to 30 people died as a result of the flooding, severe winds and storm surges. [https://knowledge.aidr.org.au/resources/flood-northern-new-south-wales-1954/] On 20 February 1954, a tropical cyclone crossed over Coolangatta. While the cyclone occurred when weather patterns were unnamed, it was unofficially given the title The Great Gold Coast Cyclone. Serious structural damage to buildings occurred in Brisbane, Gold Coast and the Sunshine Coast..A 0.64 m storm surge was recorded in Moreton Bay while at Beachmere the surge was much higher. Waves at Kirra brought 3 m of water onto the highway washing cars from the road. As a result of the heavy rain, flooding which combined with the storm surge in the Nerang River caused many evacuations in the area, including people from MacIntosh Island..Severe flooding also occurred in areas of New South Wales; Cudgen, Casino, Lismore, Murwillumbah, Grafton, Maclean, Clarence, Yamba, Kyogle and Bryon Bay. The worst-hit areas were reported as Lismore, Casino, Kyogle, and Murwillumbah. The Richmond River rose approximately 1 m above the record 1949 flood level. Impacts to these areas included several thousand people displaced, crop and stock losses, residential and commercial premises damaged, and roads and other infrastructure destroyed..In Byron Bay, the outer section of the jetty was swept away taking 22 vessels with it . The storm surge moved thorough Bryon Bay and flooded parts of the town. The Bureau of Meteorology reports between 26 to 30 people died as a result of the flooding, severe winds and storm surges.","Blended event: [https://knowledge.aidr.org.au/resources/cyclone-the-great-gold-coast-cyclone-queensland/] ABC Emergency, 'The Great Gold Coast Cyclone - February 1954' 20 Febuary 2014, website viewed 20 Febuary 2014
Bureau of Meteorology, Gold Coast cyclone, February1954, website viewed 4 May 2011
Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 4 May 2011
Windworker, Queensland cyclones - Cyclone to have impacted on Queensland Australian from 1864, website viewed 4 May 2011
Ministry for Police and Emergency Service, 1954 February 20 South-Eastern QLD / Northern NSW cyclone, 18 September 2007, website viewed 4 May 2011
The Sydney Morning Herald, ‘Appeal To Aid Flood Victims’, 23 February 1954, p 1, viewed on Trove website (ID 18411337), 6 June 2011
The Sydney Morning Herald, ‘Flood damage record committee’s view’, 24 February 1954, p 4, website viewed 7 June 2011. [https://knowledge.aidr.org.au/resources/flood-northern-new-south-wales-1954/] Margaret Burin, '1954 record floods: locals recall white-water rapids through Lismore', ABC, 20 February 2014, viewed 14 December 2021
HardenUp Queensland, 'Case Study: Gold Coast Cyclone, February 1954', 9 September 2011, website viewed 15 December 2021 
Kevin M. Roche et al. 'The Great Australian Flood of 1954: Estimating the Cost of a Similar Event in 2011', American Meteorological Society Volume 5, July 2013, website viewed 15 December 2021",150.0,155.0,-35.0,-25.0,,,,,NSW/QLD,Feb54,1
HunterValley-Feb55,Flood - Hunter Valley ,"New South Wales, Queensland","Mackay, Sydney",Flood,1955-02-22,1955-03-07,32.0,0.0,0.0,https://knowledge.aidr.org.au/resources/flood-hunter-valley-new-south-wales/ https://knowledge.aidr.org.au/resources/cyclone-mackay-queensland-1955/,"Blended event: [https://knowledge.aidr.org.au/resources/flood-hunter-valley-new-south-wales/] The Hunter Valley, New South Wales floods occurred as a result of heavy rainfall, with more than 250 mm recorded between Nevertire and Dunedoo. The damage was widespread across the Hunter Valley, with more than 40,000 people evacuated from more than 40 towns. Fifteen thousand residents were evacuated from the Singleton and Maitland regions, 5200 homes were flooded and 58 homes were destroyed or washed away..The Castlereagh River reached a record height, while at Gilgrandra, one third of the buildings were damaged and a hole torn in the main street was later found to contain two large semi-trailers.  .The Namoi and Gwydir Valleys were devastated and Narrabri was completely isolated. Water up to 3 m deep covered some streets and approximately 1000 homes sustained water damage..24 deaths were recorded as a result of the flood. [https://knowledge.aidr.org.au/resources/cyclone-mackay-queensland-1955/] On 7 March 1955, between Mackay and Cape Capricorn, a lugger (boat) sank when it was caught in a cyclone with winds that reached 145 km per hour. The crew of eight drowned..Several buildings were unroofed at Yeppoon and major floods occurred at Flinders Burdekin and Fitzroy Rivers.","Blended event: [https://knowledge.aidr.org.au/resources/flood-hunter-valley-new-south-wales/] New South Wales Government, Ministry for Police and Emergency Services,’1955 February Hunter Valley floods’,18 September 2007, website viewed 2 March 2011
http://www.emergency.nsw.gov.au/content.php/629.html. [https://knowledge.aidr.org.au/resources/cyclone-mackay-queensland-1955/] Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to  2000, website viewed 3 May 2011

B Fraser, Macquarie book of events, 1983, p 575",147.5,155.0,-35.0,-30.0,,,,,NSW/QLD,Feb55,1
CycAgnes-Mar56,Cyclone Agnes,Queensland,Cairns,Cyclone,1956-03-06,1956-03-07,4.0,,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-agnes-queensland/,"On the 6 March 1956, Cyclone Agnes, the first Australian tropical cyclone tracked on radar, passed over Townsville, Ingham, Cairns, McKay and then into the interior. The event caused damaged roofs on multiple properties; approximately 20 houses were rendered uninhabitable. ..Subsequent inland flooding caused four deaths...The 1956 estimated damage cost was £2.5m in Cairns and an estimated damage cost of £1million in Townsville.","Fraser B, Macquarie book of events. 1st edn. Netley, South Australia: Macquarie Library Pty.Ltd. 1984, p 575
Bureau of Meteorology, History of Townsville meteorological office, website viewed 29 April 2011
Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 29 April 2011",145.0,150.0,-20.0,-15.0,,,,,QLD,Mar56,0
MurrayRiver-Sep56,Flood - Murray River,South Australia,Murray Bridge (SA),Flood,1956-06-08,1956-12-01,,,Not Available,https://knowledge.aidr.org.au/resources/flood-murray-river-south-australia/,"The 1956 Murray River flood was the then largest flood ever recorded in South Australia...Heavy rains in Queensland, New South Wales and Victoria eventually caused exceptional flooding along the length of the Murray River in South Australia. Riverside towns and farms were inundated and in some places, floodwaters were many kilometres wide. Approximately 800 homes and holiday house were flooded and orchards and crops were destroyed, in some cases taking the agricultural industry years to recover. While the flood peak was reached in late August, some places remained underwater for six months.","Bureau of Meteorology, Floods in South Australia 1836 – 2005, 2006, p 130
Fraser B, Macquarie book of events. 1st edn. Netley, South Australia: Macquarie Library Pty. Ltd., 1984, p 575
Mannum Museum, Mannum floods, website viewed 13 February 2012
South Australian Government, Murray River - 1956 Floods Anniversary, website viewed 13 February 2012
South Australian State Library, The Dwindling River: Droughts and floods, website viewed 13 February 2012
The Australian, ‘One downpour from disaster’, 5 January 2011, website viewed 13 February 2012",140.0,155.0,-40.0,-30.0,,,,,NSW/SA/VIC,Sep56,1
QLDCentralCoast-Feb58,Flood - Central Coast,Queensland,"Ayr , Charters Towers , Mackay , Townsville",Flood,1958-02-16,1958-02-24,3.0,,Not Available,https://knowledge.aidr.org.au/resources/flood-central-coast-queensland/,"Heavy rainfall on the Central Coast from 16 to 20 February produced catastrophic flooding in multiple regions. Areas west and northwest of Mackay were impacted, with the short coastal streams between Mackay and Bowen reporting record floods. At Finch Hatton, 865 mm of rain was reported in 24 hours while at Giru 1 m of water flowed through the town...Record floods in the O'Connell River washed away both the Elaroo and Bloomsbury bridges. In northern parts of the Thomson River catchment, severe flooding was reported in the Torrens and Cornish creeks. The flood caused major damage to roads, railways and other infrastructure. The main northern railway line was washed away. Three people lost their lives during severe weather and subsequent floods.","Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November 1858 to 2000, website viewed 12 May 2011
Bureau of Meteorology, Queensland flood summary 1950-1959, November 2010, website viewed 12 May 2011",140.0,155.0,-27.0,-15.0,,,,,QLD,Feb58,1
CycGlenda-Apr67,Cyclone Glenda,Queensland,Brisbane,Cyclone,1967-04-02,1967-04-04,6.0,,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-glenda-queensland-1967/,"In April 1967 Tropical cyclone Glenda moved south 500 kilometres east of Brisbane, resulting in large waves that eroded Gold Coast beaches. Waves up to 16 metres off the South Queensland coast were reported...Six people died in two separate boating incidents: one on the White Ocean and five on the Beagle..","Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 3 May 2011.
Windworker, Queensland cyclone - cyclones to have impacted on Queensland Australia from 1864, website viewed 3 May 2011",110.0,155.0,-45.0,-10.0,,,,,QLD,Apr67,0
CycAudrey-Mar69,Cyclone Audrey,Northern Territory,Coburg Peninsula,Cyclone,1969-02-28,1969-03-09,4.0,,Not Available,https://knowledge.aidr.org.au/resources/cyclone-audrey-northern-territory-1969/,"Cyclone Audrey began on 28 February 1969, and brought rough seas and heavy rain to the north and west coasts of the Northern Territory. It caused only minor damage, including uplifting roofs on Milingimbi and Maningrida buildings...At Goulburn Island off the northern Arnhem Land coast, four fishermen were killed by the cyclone.","Bureau of Meteorology, Cyclones in the northern region: alphabetical listing, website viewed 15 February 2012.
Bureau of Meteorology, Tropical Cyclone Audrey 28 Feb - 9 March 1969, website viewed 15 February 2012.
Murphy K, Big blow up north – A history of tropical cyclones in Australia’s Northern Territory. 1st edn. Darwin, Northern Territory: University Planning Authority, 1984, pp 55, 86.",128.0,135.0,-20.0,-10.0,,,,,NT,Mar69,0
CycAda-Jan70,Cyclone Ada,Queensland,Mackay,Cyclone,1970-01-17,1970-01-19,14.0,,12000000,https://knowledge.aidr.org.au/resources/cyclone-cyclone-ada-queensland/,"On 17 January 1970, Tropical cyclone Ada moved through the Whitsunday Island group...Daydream Island was the worst affected with its resort destroyed. On Hayman Island, 75 per cent of buildings were destroyed. Heavy rains and flooding brought havoc and dislocation of traffic and communications in the coastal strip between Bowen and Mackay. In Shute Harbor, Airlie Beach and Cannonvale, up to 80 per cent of buildings were damaged. ..Fourteen people died as a result of the Category 4 cyclone...The Insurance Council of Australia estimated the 1970 damage at $12 million, with the 2012 estimated normalised cost of $1001 million.","The Brisbane Times, ‘Factbox: Australia’s worst recent cyclones’, 1 February 2011, website viewed 6 May 2011.
Bureau of Meteorology, Severe tropical Cyclone Ada 19 - 24 January 1970, website viewed 6 May 2011.
Bureau of Meteorology, Tropical cyclone impacts along the Australian East coast from November to April 1858 to 2000, website viewed 6 May 2011.
Courier Mail, ‘Ada gave us a hammering’, 3 November 2007, website viewed 6 May 2011.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012.",142.0,155.0,-25.0,-12.0,701,"On 17 January 1970, Tropical Cyclone Ada moved through the Whitsunday Island group. Day Dream Island was the worst affected with its resort destroyed. On Hayman Island 75 per cent of buildings were destroyed. Heavy rains and flooding brought havoc and dislocation of traffic and communications in the coastal strip between Bowen and Mackay. Shute Harbor, Airlie Beach and Cannonvale received damage of up to 80 per cent of buildings. Fourteen people died as a result of the category four cyclone.",614800000.0,0.0,QLD,Jan70,1
