# --------------------------------------------------
# nrow : 192
# ncol : 1
# description : Streamflow data time series for site 203010 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2024), Communication Earth and Environment, submitted
# time_generated : 2024-12-19 15:35:31
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_map_data.py
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-02-23 00:00:00,1.52800
2022-02-23 01:00:00,1.54500
2022-02-23 02:00:00,1.58700
2022-02-23 03:00:00,1.62500
2022-02-23 04:00:00,1.64800
2022-02-23 05:00:00,1.64900
2022-02-23 06:00:00,1.64000
2022-02-23 07:00:00,1.64900
2022-02-23 08:00:00,1.72900
2022-02-23 09:00:00,1.92700
2022-02-23 10:00:00,2.23800
2022-02-23 11:00:00,2.37500
2022-02-23 12:00:00,2.64400
2022-02-23 13:00:00,3.08700
2022-02-23 14:00:00,3.59500
2022-02-23 15:00:00,3.95900
2022-02-23 16:00:00,4.66700
2022-02-23 17:00:00,6.40400
2022-02-23 18:00:00,8.22800
2022-02-23 19:00:00,9.57600
2022-02-23 20:00:00,10.87900
2022-02-23 21:00:00,11.55300
2022-02-23 22:00:00,12.20900
2022-02-23 23:00:00,12.83500
2022-02-24 00:00:00,15.77500
2022-02-24 01:00:00,22.72300
2022-02-24 02:00:00,31.60000
2022-02-24 03:00:00,52.47400
2022-02-24 04:00:00,65.05900
2022-02-24 05:00:00,79.38500
2022-02-24 06:00:00,94.12300
2022-02-24 07:00:00,116.21000
2022-02-24 08:00:00,141.68900
2022-02-24 09:00:00,165.07400
2022-02-24 10:00:00,204.47600
2022-02-24 11:00:00,263.42000
2022-02-24 12:00:00,288.25000
2022-02-24 13:00:00,298.87800
2022-02-24 14:00:00,307.52200
2022-02-24 15:00:00,319.27300
2022-02-24 16:00:00,334.59100
2022-02-24 17:00:00,352.34600
2022-02-24 18:00:00,369.14100
2022-02-24 19:00:00,379.87500
2022-02-24 20:00:00,381.01100
2022-02-24 21:00:00,372.71400
2022-02-24 22:00:00,353.17100
2022-02-24 23:00:00,324.04000
2022-02-25 00:00:00,289.82600
2022-02-25 01:00:00,253.73500
2022-02-25 02:00:00,216.89000
2022-02-25 03:00:00,181.26800
2022-02-25 04:00:00,148.92500
2022-02-25 05:00:00,121.02000
2022-02-25 06:00:00,97.49300
2022-02-25 07:00:00,79.15300
2022-02-25 08:00:00,65.48900
2022-02-25 09:00:00,55.81500
2022-02-25 10:00:00,48.97600
2022-02-25 11:00:00,44.06700
2022-02-25 12:00:00,40.42600
2022-02-25 13:00:00,37.82400
2022-02-25 14:00:00,36.80600
2022-02-25 15:00:00,37.27700
2022-02-25 16:00:00,39.06200
2022-02-25 17:00:00,41.98000
2022-02-25 18:00:00,45.21000
2022-02-25 19:00:00,47.91500
2022-02-25 20:00:00,49.58900
2022-02-25 21:00:00,49.44800
2022-02-25 22:00:00,47.43500
2022-02-25 23:00:00,43.88800
2022-02-26 00:00:00,39.38700
2022-02-26 01:00:00,35.12400
2022-02-26 02:00:00,31.95600
2022-02-26 03:00:00,29.18400
2022-02-26 04:00:00,27.09400
2022-02-26 05:00:00,25.55700
2022-02-26 06:00:00,24.31200
2022-02-26 07:00:00,23.23400
2022-02-26 08:00:00,22.64700
2022-02-26 09:00:00,22.02300
2022-02-26 10:00:00,21.53100
2022-02-26 11:00:00,21.84200
2022-02-26 12:00:00,24.36500
2022-02-26 13:00:00,27.62800
2022-02-26 14:00:00,29.45100
2022-02-26 15:00:00,29.50800
2022-02-26 16:00:00,28.46500
2022-02-26 17:00:00,27.52600
2022-02-26 18:00:00,27.22000
2022-02-26 19:00:00,28.32400
2022-02-26 20:00:00,31.46600
2022-02-26 21:00:00,37.16000
2022-02-26 22:00:00,48.74500
2022-02-26 23:00:00,73.89500
2022-02-27 00:00:00,98.58600
2022-02-27 01:00:00,124.84500
2022-02-27 02:00:00,153.55400
2022-02-27 03:00:00,183.64900
2022-02-27 04:00:00,210.75800
2022-02-27 05:00:00,229.04100
2022-02-27 06:00:00,241.29900
2022-02-27 07:00:00,247.05000
2022-02-27 08:00:00,248.13600
2022-02-27 09:00:00,258.73000
2022-02-27 10:00:00,280.79400
2022-02-27 11:00:00,291.86700
2022-02-27 12:00:00,301.15400
2022-02-27 13:00:00,317.71000
2022-02-27 14:00:00,339.35200
2022-02-27 15:00:00,367.05800
2022-02-27 16:00:00,414.75900
2022-02-27 17:00:00,463.39200
2022-02-27 18:00:00,508.62300
2022-02-27 19:00:00,582.67800
2022-02-27 20:00:00,661.52700
2022-02-27 21:00:00,774.12700
2022-02-27 22:00:00,900.78500
2022-02-27 23:00:00,1039.60600
2022-02-28 00:00:00,1147.56600
2022-02-28 01:00:00,1201.16400
2022-02-28 02:00:00,1222.51800
2022-02-28 03:00:00,1220.51900
2022-02-28 04:00:00,1193.24200
2022-02-28 05:00:00,1163.81200
2022-02-28 06:00:00,1177.10400
2022-02-28 07:00:00,1182.07900
2022-02-28 08:00:00,1210.21200
2022-02-28 09:00:00,1284.98200
2022-02-28 10:00:00,1293.87700
2022-02-28 11:00:00,1272.11400
2022-02-28 12:00:00,1262.75800
2022-02-28 13:00:00,1258.94300
2022-02-28 14:00:00,1276.26400
2022-02-28 15:00:00,1309.60500
2022-02-28 16:00:00,1337.24200
2022-02-28 17:00:00,1313.71741
2022-02-28 18:00:00,1245.00891
2022-02-28 19:00:00,1154.66633
2022-02-28 20:00:00,1064.92245
2022-02-28 21:00:00,973.95705
2022-02-28 22:00:00,880.46750
2022-02-28 23:00:00,790.58637
2022-03-01 00:00:00,706.37829
2022-03-01 01:00:00,632.58110
2022-03-01 02:00:00,565.56366
2022-03-01 03:00:00,503.96515
2022-03-01 04:00:00,448.12965
2022-03-01 05:00:00,396.76898
