# --------------------------------------------------
# nrow : 456
# ncol : 1
# description : Streamflow data time series for site 203402 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2025), Communication Earth and Environment, submitted
# time_generated : 2025-02-26 17:00:43
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_streamflow_data.py
# --------------------------------------------------
TIME,WATERLEVEL_AHD[m]
2022-02-20 00:00:00,-0.58463
2022-02-20 01:00:00,-0.40300
2022-02-20 02:00:00,-0.26775
2022-02-20 03:00:00,-0.18212
2022-02-20 04:00:00,-0.19850
2022-02-20 05:00:00,-0.30187
2022-02-20 06:00:00,-0.40025
2022-02-20 07:00:00,-0.48650
2022-02-20 08:00:00,-0.56875
2022-02-20 09:00:00,-0.64450
2022-02-20 10:00:00,-0.71088
2022-02-20 11:00:00,-0.72212
2022-02-20 12:00:00,-0.53412
2022-02-20 13:00:00,-0.35500
2022-02-20 14:00:00,-0.19850
2022-02-20 15:00:00,-0.06900
2022-02-20 16:00:00,-0.01025
2022-02-20 17:00:00,-0.08850
2022-02-20 18:00:00,-0.20887
2022-02-20 19:00:00,-0.31513
2022-02-20 20:00:00,-0.41263
2022-02-20 21:00:00,-0.50225
2022-02-20 22:00:00,-0.58638
2022-02-20 23:00:00,-0.65925
2022-02-21 00:00:00,-0.67613
2022-02-21 01:00:00,-0.51087
2022-02-21 02:00:00,-0.35062
2022-02-21 03:00:00,-0.22225
2022-02-21 04:00:00,-0.14713
2022-02-21 05:00:00,-0.18950
2022-02-21 06:00:00,-0.30050
2022-02-21 07:00:00,-0.39763
2022-02-21 08:00:00,-0.48700
2022-02-21 09:00:00,-0.56850
2022-02-21 10:00:00,-0.64325
2022-02-21 11:00:00,-0.70388
2022-02-21 12:00:00,-0.65688
2022-02-21 13:00:00,-0.45662
2022-02-21 14:00:00,-0.29325
2022-02-21 15:00:00,-0.15138
2022-02-21 16:00:00,-0.04862
2022-02-21 17:00:00,-0.05062
2022-02-21 18:00:00,-0.16550
2022-02-21 19:00:00,-0.28125
2022-02-21 20:00:00,-0.37963
2022-02-21 21:00:00,-0.47163
2022-02-21 22:00:00,-0.55762
2022-02-21 23:00:00,-0.63700
2022-02-22 00:00:00,-0.69750
2022-02-22 01:00:00,-0.63287
2022-02-22 02:00:00,-0.44737
2022-02-22 03:00:00,-0.30387
2022-02-22 04:00:00,-0.18725
2022-02-22 05:00:00,-0.12862
2022-02-22 06:00:00,-0.18662
2022-02-22 07:00:00,-0.29775
2022-02-22 08:00:00,-0.39638
2022-02-22 09:00:00,-0.48525
2022-02-22 10:00:00,-0.56875
2022-02-22 11:00:00,-0.64250
2022-02-22 12:00:00,-0.69875
2022-02-22 13:00:00,-0.64138
2022-02-22 14:00:00,-0.44713
2022-02-22 15:00:00,-0.29763
2022-02-22 16:00:00,-0.17825
2022-02-22 17:00:00,-0.12575
2022-02-22 18:00:00,-0.19188
2022-02-22 19:00:00,-0.31000
2022-02-22 20:00:00,-0.41213
2022-02-22 21:00:00,-0.50475
2022-02-22 22:00:00,-0.58962
2022-02-22 23:00:00,-0.66675
