# --------------------------------------------------
# nrow : 1837
# ncol : 15
# author : Julien Lerat, CSIRO Enviromment
# description : Main towns
# reference : Lerat and Vaze (2024), Nature, submitted
# time_generated : 2024-12-02 16:29:33
# --------------------------------------------------
UCL_CODE21,NAME,SSR_CODE21,SSR_NAME21,SOS_CODE21,SOS_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,xcoord,ycoord,POPULATION_MIN
101001,Sydney,101,1 million or more,10,Major Urban,1,New South Wales,AUS,Australia,2194.17310,https://linked.data.gov.au/dataset/asgsed3/UCL/101001,150.96692,-33.84171,1000000.00000
102001,Canberra,102,"250,000 to 999,999",10,Major Urban,1,New South Wales,AUS,Australia,28.78670,https://linked.data.gov.au/dataset/asgsed3/UCL/102001,149.22022,-35.36643,250000.00000
102002,Central Coast,102,"250,000 to 999,999",10,Major Urban,1,New South Wales,AUS,Australia,332.90650,https://linked.data.gov.au/dataset/asgsed3/UCL/102002,151.42876,-33.36602,250000.00000
102003,Gold Coast,102,"250,000 to 999,999",10,Major Urban,1,New South Wales,AUS,Australia,67.67800,https://linked.data.gov.au/dataset/asgsed3/UCL/102003,153.52959,-28.22238,250000.00000
102004,Newcastle,102,"250,000 to 999,999",10,Major Urban,1,New South Wales,AUS,Australia,296.98980,https://linked.data.gov.au/dataset/asgsed3/UCL/102004,151.67723,-32.95100,250000.00000
102005,Wollongong,102,"250,000 to 999,999",10,Major Urban,1,New South Wales,AUS,Australia,224.48360,https://linked.data.gov.au/dataset/asgsed3/UCL/102005,150.84604,-34.47150,250000.00000
111001,Albury,111,"50,000 to 99,999",11,Other Urban,1,New South Wales,AUS,Australia,74.91120,https://linked.data.gov.au/dataset/asgsed3/UCL/111001,146.94882,-36.05032,50000.00000
111002,Coffs Harbour,111,"50,000 to 99,999",11,Other Urban,1,New South Wales,AUS,Australia,77.96720,https://linked.data.gov.au/dataset/asgsed3/UCL/111002,153.09573,-30.31231,50000.00000
111003,Maitland,111,"50,000 to 99,999",11,Other Urban,1,New South Wales,AUS,Australia,122.90010,https://linked.data.gov.au/dataset/asgsed3/UCL/111003,151.58717,-32.75010,50000.00000
112001,Armidale,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,30.21630,https://linked.data.gov.au/dataset/asgsed3/UCL/112001,151.66608,-30.51180,20000.00000
112002,Bathurst,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,54.55430,https://linked.data.gov.au/dataset/asgsed3/UCL/112002,149.58261,-33.41512,20000.00000
112003,Blue Mountains,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,79.17630,https://linked.data.gov.au/dataset/asgsed3/UCL/112003,150.38005,-33.72087,20000.00000
112004,Bowral,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,55.90230,https://linked.data.gov.au/dataset/asgsed3/UCL/112004,150.44101,-34.47735,20000.00000
112005,Cessnock,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,21.77530,https://linked.data.gov.au/dataset/asgsed3/UCL/112005,151.34816,-32.82976,20000.00000
112006,Dubbo,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,85.76160,https://linked.data.gov.au/dataset/asgsed3/UCL/112006,148.61128,-32.24497,20000.00000
112007,Echuca,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,28.01900,https://linked.data.gov.au/dataset/asgsed3/UCL/112007,144.72980,-36.09069,20000.00000
112008,Forster,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,32.66480,https://linked.data.gov.au/dataset/asgsed3/UCL/112008,152.51992,-32.19291,20000.00000
112009,Goulburn,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,55.57590,https://linked.data.gov.au/dataset/asgsed3/UCL/112009,149.72776,-34.74795,20000.00000
112010,Griffith,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,47.93000,https://linked.data.gov.au/dataset/asgsed3/UCL/112010,146.05578,-34.27554,20000.00000
112011,Kurri Kurri,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,26.11160,https://linked.data.gov.au/dataset/asgsed3/UCL/112011,151.47184,-32.81009,20000.00000
112012,Lismore,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,40.25100,https://linked.data.gov.au/dataset/asgsed3/UCL/112012,153.29339,-28.81857,20000.00000
112013,Mildura,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,5.89120,https://linked.data.gov.au/dataset/asgsed3/UCL/112013,142.19659,-34.17576,20000.00000
112014,Morisset,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,43.74840,https://linked.data.gov.au/dataset/asgsed3/UCL/112014,151.49015,-33.09530,20000.00000
112015,Nowra,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,37.93550,https://linked.data.gov.au/dataset/asgsed3/UCL/112015,150.59877,-34.87794,20000.00000
112016,Orange,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,56.82830,https://linked.data.gov.au/dataset/asgsed3/UCL/112016,149.10004,-33.27477,20000.00000
112017,Port Macquarie,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,43.89210,https://linked.data.gov.au/dataset/asgsed3/UCL/112017,152.89442,-31.45253,20000.00000
112018,Tamworth,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,38.21730,https://linked.data.gov.au/dataset/asgsed3/UCL/112018,150.91386,-31.10013,20000.00000
112019,Wagga Wagga,112,"20,000 to 49,999",11,Other Urban,1,New South Wales,AUS,Australia,71.53140,https://linked.data.gov.au/dataset/asgsed3/UCL/112019,147.36146,-35.14428,20000.00000
113001,Ballina,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,15.69310,https://linked.data.gov.au/dataset/asgsed3/UCL/113001,153.56633,-28.85774,10000.00000
113002,Batemans Bay,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,22.38250,https://linked.data.gov.au/dataset/asgsed3/UCL/113002,150.19279,-35.71809,10000.00000
113003,Broken Hill,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,25.72090,https://linked.data.gov.au/dataset/asgsed3/UCL/113003,141.45579,-31.96393,10000.00000
113004,Byron Bay,113,"10,000 to 19,999",11,Other Urban,1,New South Wales,AUS,Australia,21.85760,https://linked.data.gov.au/dataset/asgsed3/UCL/113004,153.60242,-28.65221,10000.00000
