# --------------------------------------------------
# nrow : 26
# ncol : 18
# description : Propagation data
# reference : Lerat and Vaze (2024), Communication Earth and Environment, submitted
# time_generated : 2025-03-01 14:32:23
# author : Julien Lerat, CSIRO Enviromment
# source_file : DATA_prepare_propag_data.py
# --------------------------------------------------
FLOODID,FLOODNAME,START,END,UPID,DOWNID,PAIR,DIST,MISSING_RATIO_UP,MISSING_RATIO_DOWN,IS_VALID,PEAK_UP,PEAK_UP_TIME,PEAK_DOWN,PEAK_DOWN_TIME,PEAK_TIME_DIFF,MAJOR_FLOOD,ATTENUATION_UP_DOWN
23Jun83,Jun83,1983-06-22 07:00:00,1983-06-25 17:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.06479,1983-06-23 06:00:00,7.97800,1983-06-23 21:00:00,15.00000,Jun83,8.08679
10Apr84,Apr84,1984-04-08 10:00:00,1984-04-12 19:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.58540,1984-04-09 08:00:00,9.42800,1984-04-10 03:00:00,19.00000,Apr84,7.15740
19Jun84,Jun84,1984-06-18 08:00:00,1984-06-20 20:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.41593,1984-06-18 20:00:00,7.28550,1984-06-19 14:00:00,18.00000,Jun84,9.13043
06Mar87,Mar87,1987-03-04 15:00:00,1987-03-08 17:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.76794,1987-03-05 14:00:00,9.90800,1987-03-06 05:00:00,15.00000,Mar87,6.85994
11May87,May87,1987-05-09 16:00:00,1987-05-14 06:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.86042,1987-05-10 18:00:00,10.21800,1987-05-11 05:00:00,11.00000,May87,6.64242
12Apr88,Apr88,1988-04-03 17:00:00,1988-04-15 07:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.54538,1988-04-11 23:00:00,8.93800,1988-04-12 13:00:00,14.00000,Apr88,7.60738
02Apr89,Apr89,1989-04-01 00:00:00,1989-04-05 17:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.07573,True,15.75044,1989-04-02 14:00:00,10.63800,1989-04-02 15:00:00,1.00000,Apr89,5.11244
27Apr89,Apr89,1989-04-25 21:00:00,1989-04-29 04:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.20292,False,16.29324,1989-04-26 19:00:00,8.61800,1989-04-27 08:00:00,13.00000,Apr89,7.67524
16Feb95,Feb95,1995-02-15 06:00:00,1995-02-18 11:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.46042,1995-02-15 22:00:00,7.96300,1995-02-16 14:00:00,16.00000,Feb95,8.49742
07May96,May96,1996-05-02 15:00:00,1996-05-09 05:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,15.55236,1996-05-07 11:00:00,7.61800,1996-05-07 15:00:00,4.00000,May96,7.93436
02Feb01,Feb01,2001-02-01 01:00:00,2001-02-05 16:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.55125,2001-02-02 00:00:00,10.05800,2001-02-02 16:00:00,16.00000,Feb01,6.49325
09Mar01,Mar01,2001-03-08 05:00:00,2001-03-11 16:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,15.99070,2001-03-09 09:00:00,8.00800,2001-03-09 19:00:00,10.00000,Mar01,7.98270
07Mar04,Mar04,2004-03-05 22:00:00,2004-03-08 08:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,14.72865,2004-03-06 17:00:00,7.08050,2004-03-07 03:00:00,10.00000,Mar04,7.64815
30Jun05,Jun05,2005-06-29 03:00:00,2005-07-03 08:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.75145,2005-06-30 13:00:00,10.19425,2005-06-30 20:00:00,7.00000,Jun05,6.55720
20Jan06,Jan06,2006-01-18 22:00:00,2006-01-22 15:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.69299,2006-01-19 18:00:00,8.43050,2006-01-20 04:00:00,10.00000,Jan06,8.26249
05Jan08,Jan08,2008-01-03 17:00:00,2008-01-08 05:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.20080,2008-01-04 14:00:00,8.79800,2008-01-05 21:00:00,31.00000,Jan08,7.40280
22May09,May09,2009-05-20 22:00:00,2009-05-25 21:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.70212,2009-05-22 04:00:00,10.01675,2009-05-22 15:00:00,11.00000,May09,6.68537
26Jan12,Jan12,2012-01-25 03:00:00,2012-01-28 11:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.39550,2012-01-26 05:00:00,7.89825,2012-01-26 19:00:00,14.00000,Jan12,8.49725
29Jan13,Jan13,2013-01-27 13:00:00,2013-01-31 19:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.49363,2013-01-28 14:00:00,9.14450,2013-01-29 06:00:00,16.00000,Jan13,7.34913
23Feb13,Feb13,2013-02-22 07:00:00,2013-02-25 13:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,15.39100,2013-02-23 12:00:00,7.76987,2013-02-23 21:00:00,9.00000,Feb13,7.62113
02May15,May15,2015-05-01 15:00:00,2015-05-04 06:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,15.96825,2015-05-02 17:00:00,7.24363,2015-05-02 22:00:00,5.00000,May15,8.72462
05Jun16,Jun16,2016-06-04 04:00:00,2016-06-07 18:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,17.05537,2016-06-05 03:00:00,9.00013,2016-06-05 15:00:00,12.00000,Jun16,8.05524
31Mar17,Mar17,2017-03-29 18:00:00,2017-04-03 11:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,16.69312,2017-03-31 09:00:00,11.32962,2017-03-31 11:00:00,2.00000,Mar17,5.36350
14Feb20,Feb20,2020-02-13 04:00:00,2020-02-16 01:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,15.61812,2020-02-14 06:00:00,7.43238,2020-02-14 14:00:00,8.00000,Feb20,8.18574
28Feb22,Feb22,2022-02-24 01:00:00,2022-03-04 12:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,17.33037,2022-02-28 15:00:00,14.19387,2022-02-28 14:00:00,-1.00000,Feb22,3.13650
30Mar22,Mar22,2022-03-28 15:00:00,2022-04-02 18:00:00,203014,203402,203402_203014,15800.00000,0.00000,0.00000,True,17.23950,2022-03-30 07:00:00,11.06250,2022-03-30 14:00:00,7.00000,Mar22,6.17700
