#--------------------------------------------------------------------------------
# DISCLAIMER: DATA CONTAINED IN THIS FILE HAS BEEN PREPARED IN THE CONTEXT OF A RESEARCH PROJECT. IT MAY NOT BE ACCURATE AND IS SUBJECT TO CHANGE.
# USE THIS DATA AT YOUR OWN RISK.
#--------------------------------------------------------------------------------
# Author : Julien Lerat, CSIRO Environment
# Reference : Lerat and Vaze (2025), When the impossible flood happens: how February 2022 redefines extreme floods in Australia. Communications Earth and Environment
# Version : 5
# Date : 2025-04-13 16:46:08.517509
# Source file : DATA_prepare_flood_data.py
#--------------------------------------------------------------------------------
# Description : Information on gauging stations
#--------------------------------------------------------------------------------
#
STATIONID,LONGITUDE[deg],LATITUDE[deg],CATCHMENTAREA[km2],STATE,NAME
002101,139.3671,-25.90837,115205.0,QLD,Diamantina River At Birdsville
003206,145.04375,-20.82007,893.0,QLD,Torrens Creek At Torrens Creek
003301,143.28125,-25.18542,51663.0,QLD,Barcoo River At Retreat
011202,143.93807,-27.76645,26755.0,QLD,Bulloo River At Autumnvale
105101,144.8387,-15.2816,2302.0,QLD,Normanby River At Battle Camp
105102,144.48477,-15.61372,1316.0,QLD,Laura River At Coal Seam Creek
105105,145.01297,-15.76799,297.0,QLD,East Normanby River At Mulligan Highway
105107,144.21128,-14.91683,12934.0,QLD,Normanby River At Kalpowar Crossing
107002,145.19317,-15.64394,373.0,QLD,Annan River At Mount Simon
108002,145.28189,-16.17961,911.0,QLD,Daintree River At Bairds
1088-1,146.19193,-41.1662,17.5,TAS,BUTTONS CREEK US BASS HIGHWAY
110003,145.53858,-17.25911,228.0,QLD,Barron River At Picnic Crossing
110011,145.53026,-16.78011,150.0,QLD,Flaggy Creek At Cattle Yards
110021,145.51268,-17.33747,127.0,QLD,Barron River At Goonara Creek
111007,145.76456,-17.13336,520.0,QLD,Mulgrave River At Peets Bridge
111009,145.80186,-17.04575,14.0,QLD,Simmonds Creek At Kamma Pine Road
111010,145.82194,-16.94289,14.0,QLD,Hills Creek At Hamilton Road Bridge
111101,145.96727,-17.38595,315.0,QLD,Russell River At Bucklands
