# --------------------------------------------------
# nrow : 192
# ncol : 1
# author : Julien Lerat, CSIRO Enviromment
# description : Streamflow data time series for site 202001 extracted from WaterNSW website (https://realtimedata.waternsw.com.au/)
# reference : Lerat and Vaze (2024), Nature, submitted
# time_generated : 2024-12-02 16:19:52
# --------------------------------------------------
TIME,STREAMFLOW[m3/sec]
2022-02-23 00:00:00,0.50216
2022-02-23 01:00:00,0.49385
2022-02-23 02:00:00,0.49272
2022-02-23 03:00:00,0.49160
2022-02-23 04:00:00,0.49347
2022-02-23 05:00:00,0.50598
2022-02-23 06:00:00,0.54682
2022-02-23 07:00:00,0.62883
2022-02-23 08:00:00,0.82330
2022-02-23 09:00:00,1.29645
2022-02-23 10:00:00,2.00424
2022-02-23 11:00:00,2.86687
2022-02-23 12:00:00,3.05787
2022-02-23 13:00:00,3.04397
2022-02-23 14:00:00,3.08589
2022-02-23 15:00:00,3.40847
2022-02-23 16:00:00,4.20052
2022-02-23 17:00:00,5.70792
2022-02-23 18:00:00,6.44160
2022-02-23 19:00:00,6.73788
2022-02-23 20:00:00,5.92281
2022-02-23 21:00:00,5.02735
2022-02-23 22:00:00,4.77972
2022-02-23 23:00:00,5.50648
2022-02-24 00:00:00,7.18035
2022-02-24 01:00:00,16.43059
2022-02-24 02:00:00,59.38170
2022-02-24 03:00:00,145.08066
2022-02-24 04:00:00,107.93189
2022-02-24 05:00:00,67.67288
2022-02-24 06:00:00,47.17686
2022-02-24 07:00:00,37.43757
2022-02-24 08:00:00,43.68024
2022-02-24 09:00:00,81.96376
2022-02-24 10:00:00,142.35492
2022-02-24 11:00:00,128.10486
2022-02-24 12:00:00,105.04993
2022-02-24 13:00:00,79.21252
2022-02-24 14:00:00,61.63126
2022-02-24 15:00:00,47.57447
2022-02-24 16:00:00,36.85306
2022-02-24 17:00:00,30.14380
2022-02-24 18:00:00,25.47586
2022-02-24 19:00:00,22.19566
2022-02-24 20:00:00,19.64454
2022-02-24 21:00:00,17.44834
2022-02-24 22:00:00,15.52388
2022-02-24 23:00:00,13.95266
2022-02-25 00:00:00,12.78719
2022-02-25 01:00:00,11.78978
2022-02-25 02:00:00,10.89660
2022-02-25 03:00:00,10.18551
2022-02-25 04:00:00,9.59734
2022-02-25 05:00:00,9.04600
2022-02-25 06:00:00,8.73134
2022-02-25 07:00:00,8.46451
2022-02-25 08:00:00,8.29906
2022-02-25 09:00:00,8.05544
2022-02-25 10:00:00,8.29128
2022-02-25 11:00:00,8.87122
2022-02-25 12:00:00,9.19734
2022-02-25 13:00:00,9.40138
2022-02-25 14:00:00,9.52449
2022-02-25 15:00:00,9.04149
2022-02-25 16:00:00,8.43997
2022-02-25 17:00:00,7.93907
2022-02-25 18:00:00,7.56199
2022-02-25 19:00:00,7.21751
2022-02-25 20:00:00,6.95198
2022-02-25 21:00:00,6.68133
2022-02-25 22:00:00,6.47561
2022-02-25 23:00:00,6.27937
2022-02-26 00:00:00,6.09745
2022-02-26 01:00:00,5.92736
2022-02-26 02:00:00,5.82882
2022-02-26 03:00:00,5.89612
2022-02-26 04:00:00,5.70444
2022-02-26 05:00:00,5.53456
2022-02-26 06:00:00,5.69409
2022-02-26 07:00:00,6.35183
2022-02-26 08:00:00,7.16382
2022-02-26 09:00:00,7.92669
2022-02-26 10:00:00,7.95302
2022-02-26 11:00:00,7.93439
2022-02-26 12:00:00,7.72412
2022-02-26 13:00:00,7.44725
2022-02-26 14:00:00,7.15089
